                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.477,                 2.4903,                 1.4692,                0.57355,                0.46316,                0.47517,                0.25554,                 1.3028,                 2.9604,                 1.4377,             0.00065608,             0.00065608,             0.00065608
                      2,                 1.4786,                 1.9783,                 1.4738,                0.50919,                0.50526,                0.45231,                0.22644,                 1.5706,                 2.9794,                 1.7372,              0.0013064,              0.0013064,              0.0013064
                      3,                 1.5847,                 1.9455,                 1.5801,                0.32833,                0.48947,                0.30229,                0.13438,                 1.7895,                 2.5629,                 1.8942,              0.0019402,              0.0019402,              0.0019402
                      4,                 1.5632,                 1.7622,                 1.5258,                0.35925,                0.38105,                0.30649,                0.13602,                 1.9409,                 3.3435,                 1.8723,              0.0019258,              0.0019258,              0.0019258
                      5,                 1.5634,                 1.6774,                 1.5515,                0.49208,                0.53368,                0.48067,                0.23827,                 1.6416,                 2.2235,                  1.728,              0.0019258,              0.0019258,              0.0019258
                      6,                 1.5021,                 1.5533,                 1.5178,                0.58258,                0.59684,                0.61151,                0.32109,                 1.4799,                 2.8266,                 1.6636,               0.001901,               0.001901,               0.001901
                      7,                 1.4534,                 1.4881,                 1.4756,                0.70018,                0.67601,                0.71401,                 0.4231,                 1.3053,                 1.5407,                 1.4128,              0.0018763,              0.0018763,              0.0018763
                      8,                 1.4067,                 1.4161,                 1.4389,                0.59971,                0.64343,                0.63119,                0.34888,                 1.4381,                 1.9785,                 1.5485,              0.0018515,              0.0018515,              0.0018515
                      9,                 1.3967,                 1.3988,                 1.4265,                0.69934,                0.59986,                0.66151,                 0.3653,                 1.4828,                 1.6036,                 1.5443,              0.0018267,              0.0018267,              0.0018267
                     10,                 1.3573,                 1.3623,                 1.3902,                0.73085,                0.62421,                0.71636,                0.42661,                 1.3508,                  1.538,                  1.425,               0.001802,               0.001802,               0.001802
                     11,                 1.3469,                 1.2774,                 1.3805,                0.75314,                0.73579,                0.78273,                0.48432,                 1.3014,                 1.2164,                 1.4209,              0.0017772,              0.0017772,              0.0017772
                     12,                  1.337,                 1.2815,                 1.3922,                0.72716,                0.68737,                0.76365,                0.46532,                 1.2892,                 1.2343,                 1.4275,              0.0017525,              0.0017525,              0.0017525
                     13,                  1.268,                   1.21,                 1.3637,                0.66225,                0.71825,                0.71575,                0.40347,                 1.3444,                 1.4286,                 1.4656,              0.0017278,              0.0017278,              0.0017278
                     14,                  1.306,                 1.2005,                 1.3309,                0.64275,                0.69263,                0.70668,                0.43162,                 1.2298,                 1.5571,                 1.3571,               0.001703,               0.001703,               0.001703
                     15,                 1.2882,                 1.1999,                 1.3592,                0.84105,                0.72316,                0.82281,                0.54741,                 1.1719,                 1.1043,                 1.2942,              0.0016783,              0.0016783,              0.0016783
                     16,                 1.2446,                 1.1316,                 1.3241,                0.77991,                0.70499,                 0.8155,                0.53533,                 1.1923,                 1.1164,                  1.278,              0.0016535,              0.0016535,              0.0016535
                     17,                 1.2283,                 1.1397,                 1.3076,                0.62475,                0.74133,                0.70917,                0.44379,                 1.1801,                 1.4708,                 1.2842,              0.0016287,              0.0016287,              0.0016287
                     18,                 1.2578,                 1.1657,                 1.3403,                0.68226,                0.73053,                0.71982,                0.48036,                 1.1366,                 1.3143,                 1.2769,               0.001604,               0.001604,               0.001604
